"pealkiri","liik","aasta","tekst"
"Tudulinna soo ammendatud turbatootmisala rekultiveerimine","2. Magistritööd","2013","Magistritöö eesmärgiks oli välja töötada korrastamise tehnoloogia Tudulinna ammendatud soo rekultiveerimiseks.
Eesmärgi saavutamiseks tutvuti antud ala kohta käiva olemasoleva materjaliga ning tehti välitöid. Välitööde käigus uuriti ammendunud sooalal olevat taimestikku, tehti topogeodeetilisi mõõdistustöid, võeti turbaproove, määrati turbalasundi paksus ja analüüsiti rekonstrueerimist vajavat kuivendusvõrku. Taimkatte uurimise käigus võeti proovitükid, mille eesmärgiks oli hinnata alal kasvava taimestiku hetkeolukorda ning selle põhjal otsustada kuidas käituda edasi.
Välitööde põhjal käsitleti alale tehtavaid projektlahendusi. Kasutatavateks korrastamise meetoditeks, mida analüüsiti, olid metsastamine ja taastamine sooks. Metsastamise puhul oli vajalik ära juhtida liigniiskus, rekonstrueerides alal olevad kraavid ja eesvoolud. Samuti oli oluline õige väetamine ja turbakihi läbikündmine, et oleks tagatud parem taimekasv. Sooks taastamise puhul tuli teha vastupidist. Rabataimede kasvu taastamiseks oli vaja alal tõsta veetaset, sulgedes alal olevad kraavid tõkketammidega."
"Termoplastide vaakumvormimise seade","Rakenduskõrgharidusõppe lõputööd","2016","Antud lõputöö eesmärgiks on disainida ja konstrueerida seade termoplastide vormimiseks vaakumiga,
mis võimaldaks vormida suurema formaadiga detaile, kui turul leiduvad alternatiivid.
Seadme konstrueerimisel tekkinud probleemide analüüsimise ja paranduste tegemise läbi on võimalik
seade efektiivselt tööle saada.
Lõputöö sisaldab infot kogu konstrueerimisprotsessi kohta ja ka kasutatud materjalide kohta, samuti
sisaldab vajalikke arvutusi ja katseid, lisaks kirjanduslikest allikatest pärinevale infole.
Antud diplomitöö tulemusena on võimalik koostada seade, mis suudab teha praktilist tööd."
"Õlleraba koostise uurimine ühe Eesti väikeettevõtte näitel","1. Bakalaureusetööd","2021","Õlleraba on peamine pruulimise jääkaine. Viimase aastakümne jooksul hakkati seda nimetama õllepruulimise väärtuslikuks kõrvalproduktiks, sest oma keemilise koostise poolest suudab õlleraba konkureerida mõne muu teraviljaga. Peamine valdkond, kus õlleraba kasutatakse, on loomakasvatus. Õlleraba on väärtuslik ja odav söödalisand. Tänu õlleraba sisaldusele söödas võtavad loomad kehakaalu kiiremini juurde, lehmade piimajõud kasvab, samuti paraneb ka liha kvaliteet. Viimasel ajal aga otsitakse võimalusi kasutada seda ka inimtoiduks. Hea keemilise koostise tõttu saab õlleraba kasutada jahutoodete, lihatoodete tootmiseks, rikastades seeläbi lõpptoote toiteväärtust. Käesoleva bakalaureusetöö ülesandeks oli kirjeldada lühidalt õlle tootmistehnoloogiat; uurida selle protsessi jooksul tekkiva õlleraba keemilist koostist; võrrelda õlleraba sarnaste toodetega, nagu nisujahu, oder ja granola ning kirjeldada ka õlleraba kasutusvõimalisi. Töö eesmärgiks oli uurida ühes Eesti väikeettevõttes tekkiva õlleraba keemiline koostis ning pakkuda välja, millised tegurid võivad mõjutada õlleraba koostisese näitajaid. Katsematerjalina kasutati ühe Eesti väikeettevõtte poolt saadud õlleraba. Sellest analüüsiti niiskusesildust (nii toor- kui ka kuivatutud õllerabas), valkude, rasva , süsivesikute ning mõnede mineraalainete sisaldust. Tulemused näitasid, et kuivatatud õlleraba niiskusesisaldus sõltub suurel määral kuivatusmeetodist. Keskmised õlleraba keemilised näitajad olid sarnased kirjanduses toodud andmetega. Õlleraba keemiline koostis sõltub konkreetse pruulikorra jaoks kasutatud linnaste vahekorrast. Süsivesikutesisaldus sõltub ka õlle valmistamise koostisosadest ja õlle tüübist. Katses leiti, et kõrgeim suhkrutesisaldus oli proovides, mis võeti pärast tumeda õlle valmistamist. Proovides, mille koostis sisaldas palju otra, valke oli rohkem kui teistes samasugustes proovides. Kõrgeim kiudainesisaldus oli õlleraba proovis, kus odrasisaldus oli 100%."
"Pedja jõe sängi tervendamine ja selle rajatiste rekonstrueerimine Jõgeva aleviku piires","2. Magistritööd","2016","Jõgede ökoloogilise seisundi parandamine on oluline nii vee-elustiku kui sotsiaalsest
aspektist. Jõgeva alevikus paikneva hüdrosõlme hetkeolukord pole rahuldav, kuna rajatised
on amortiseerunud, puudub läbipääs kaladele ning inimasustusega piiratud veekogu
rekreatiivne potentsiaal on kasutamata.
Antud magistritöö eesmärk on pakkuda välja terviklik projektlahendus Jõgeva hüdrosõlme
kohta, mis tagab hüdrorajatistest takistusteta ja ohutu Pedja jõe maksimumvooluhulkade
läbilaske, ning millest juhindudes tervendatakse jõe sängi ning saavutatakse seeläbi Jõgeva
paisjärve ja harujõe parem esteetiline seisund.
Pika rea (1925-2014) põhjal tehtud hüdroloogilised arvutused ja nende põhjal
olemasolevate rajatiste läbilaskevõime leidmine näitas, et 1% ületustõenäosusega
maksimumvooluhulgast (129 m3
/s) ligikaudu 1/3 ei mahu läbi hüdrosõlme. Harujõe
eriprofiilülevoolu lävi on liiga kõrge. Truubid on liiga väikse läbimõõduga, mis on
põhjustanud mitmel aastal üleujutusi.
Lahendusena on ette nähtud peaharu paisu jäämurdjate ja ülevooluläve lammutus
läbivooluava suurendamiseks. Uueks ülevooluks jääb lailäviülevool, millel veetaset
reguleeritakse kilpvarjadega. Kalapääsu tüübiks on valitud kalaramp, mis rajatakse peaharu
pais-regulaatori vasakpoolsesse avasse. Harujõele on ette nähtud kaks silda, ülevooluläve
alandamine, kaks kivikärestikku ja kaldapuistu korrastamine."
"Gumistari mõju kartuli (Solanum Tuberosum L.) sordile ‘Ants’","1. Bakalaureusetööd","2013","Kartul on maailmas üks tähtsamaid ja kasvatatavamaid kultuure. Elanikkonna
kartulivajaduste rahuldamiseks on vaja kasutada õigeid agrotehnilisi võtteid, mille abil kasvatada
kvaliteetne saak ning tagada kartuli kaubandusliku välimuse ja toiteväärtuse säilimine kogu
tarbimisperioodi jooksul. Olulisel kohal on selliste sortide kasvatamine, millised on võimelised
andma kvaliteetse saagi võimalikult varakult. Lisaks reaalselt saadavale toodangule on kartulil
külvikorras tähtis osa – ta on sobiv eelvili kõigile teistele kultuuridele, olles heade
kasvatusvõtete puhul oluline mullaviljakust suurendav ning umbrohtumust vähendav kultuur.
Pärast esimest maailmasõda oli Eesti kartuli tootmises inimese kohta esimesel kohal
maailmas. Koos Eesti Vabariigi taassünniga hakkas aga turg ahenema ja koos sellega vähenes ka
kartuli kasvupind kaheksa protsendini. Vähenevate kasvupindade tõttu tuleks leida võimalusi
suurendada saaki pinnaühiku kohta ja kuna tänapäeva tarbijad on üha enam orienteeritud
maheproduktidele, paistab Gumistar olevat vastus mõlemale probleemile. Käesolev töö loob
objektiivse pildi humiinpreparaat Gumistari mõjust kartulisordile ’Ants’.
Antud uurimustöö eesmärgiks on välja selgitada: leida sobivaim humiinpreparaadi norm
kartulisordi ‘Ants’ kasvatamiseks; uurida kuidas mõjutab humiinpreparaat mugulate
põhielementide (N, P, K, Ca, Mg) sisaldust; uurida saagi struktuuri elementide kujunemist
sõltuvalt humiinpreparaadi erinevate normide kasutamisest.
Katsel saadud andmed on statistiliselt läbitöödeldud programmiga Statistica 11, kasutades
ANOVA, Fisher LSD testi. Antud uurimuses käsitletakse lõppsaagi tulemusi, mis võeti 31.
august igalt katselapilt (kokku 36 proovi) 15 järjestikku kasvavat taime.
Antud aasta (2012) katse põhjal on püstitatud hüpotees ümber lükatud kuna seemnekartuli
mahapanekueelne humiinpreparaadi ‘Gumistar’ kasutamine ei tõstnud statistiliselt usutavalt
mugualasaaki ja ei parandanud oluliselt kvaliteeti. Põhjalike statistiliste tulemuste saamiseks
humiinpreparaat ‘Gumistari’ mõjust kartuli sordile ‘Ants’ tuleb veel katseid teha kuna valim on
hetkel veel liialt väike (kaks aastat). Tõenäoliselt oli peamiseks preparaadi mõju pidurdajaks
sademeterohke maikuu II ja III dekaad ning ka suvi, mis pärssis humiinpreparaadi mõju
kartulisaagile."
"Hobusõnniku potentsiaal biokütusena","1. Bakalaureusetööd","2015","Käesolevas bakalaureusetöös anti ülevaade hobuturismi olemusest, selle trendidest Euroopas
ja hetkeseisust Eestis. Tutvustati hobuste pidamise viise ja sellega kaasneva kõrvaltoote,
sõnniku, käsitlemise seadusandlust ja võimalusi. Puudutati bioenergia tootmise kasulikkuse
teemat ja keskkonnamõjude negatiivseid pooli.
Uurimusküsimustiku ankeedile vastasid 35 hobusepidajat. Levinum pidamise põhjus oli enda
ja pere jaoks. Tulevikus 11 hobusepidajat plaanib hobuseid juurde võtta. Ankeedist selgus, et
enamusel sõnniku käitlemisega ning hoiustamisega probleeme ei olnud. Sõnniku ja allapanu
alternatiivse kasutuse kohta tundsid huvi 11 inimest.
Mõõtmiste tulemusel selgus, et sõnnik ja tallis kasutusel olev allapanu määrab ära, kas sellest
tasub toota bioenergiat või mitte. Saepuru ja sõnniku allapanu kütteväärtus (13,61 MJ/kg) oli
kõige kõrgem ja madalama tulemuse andis põhu ja sõnniku proov (7,62 MJ/kg).

Väide, et Eestis on hobusõnniku käsitlemisega probleeme, lükati ümber. Hobuste pidamisest
tekkinud kõrvalsaadus, sõnnik ja allapanu, leiab kasutuse põldudel väetisena. Hüpotees, et
hobusõnnikul on potentsiaali bioenergiana ei pea samuti paika, kuna saadud kütteväärtus oli 
liiga madal.
Antakse ülevaade uurimistöö eesmärkidest, probleemidest, uurimismeetoditest, olulisematest
tulemustest ning nende rakendusalast. Samuti esitatakse olulised faktid, arvandmed ja seosed."
"Kasvukeskkonna ja laasimise mõju maarjakase (Betula pendula var. carelica) kloonitaimede juurdekasvule kuivendatud mineraal- ja turvasmuldade","2. Magistritööd","2014","Uurimistöö viidi läbi 2008. aastal kuivendatud põllumaale rajatud maarjakasekultuuris 
(Betula pendula var. carelica) Harjumaal Padise vallas Kõmmaste külas. Kultuur 
koosneb kahest osast: vana osa, kuhu on istutatud 2-aastaseid meristeemtaimi ja noor 
osa, mis on rajatud sama-aastaste kloonidega. 
Magistritöö eesmärgiks on analüüsida maarjakasekultuuris olevate puude 
takseertunnuseid, väljalangevust, iseloomulike tunnuste avaldumist, istutusmaterjali 
vanuse ja kasvutingimuste mõju puudele ning laasimise mõju fotosünteesiaktiivsusele. 
Saadud tulemuste põhjal antakse soovitusi maarjakase kultuuri rajamiseks ning 
majandamiseks sarnastes tingimustes. 
Magistritöö käigus viidi läbi kordusmõõtmised pea 3000 istutuskohal, kus mõõdeti 
üksikpuude juurekaela- ja rinnasdiameeter, puu kõrgus ning viimase aasta kõrguse 
juurdekasv. Samuti mõõdeti lähtekivimi sügavus ning kümnel mudelpuul fotosünteesi 
aktiivsust iseloomustavad parameetrid, mudellehtede mõõtmed ning õhulõhede tihedus. 
Töö hüpoteesiks seati väide, et maarjakase kasvu enim mõjutavaks teguriks on 
mullastik, millel puu kasvab. 
Uurimuses ilmnes, et maarjakaskede mõõtmed on mullaliikide lõikes statistiliselt 
erinevad. Seisuga 2013 aasta sügis olid noore osa maarjakased õhukesel 
madalsoomullal rähksel gleimullal kasvavate puudega võrreldes kõrgemad (vastavalt 
3,81±0,01 ja 3,35±0,01 m) ning juurekaeladiameetri juurest jämedamad (6,27±0,04 ja 
4,83±0,03 cm). Väljalangevus õhukesel madalsoomullal oli suurem (36%) kui rähksel 
gleimullal (25%). Tunnuseid esines peaaegu kõigil uuritud puudel, enim oli neid 
õhukesel madalsoomullal. Vanas osas esinevast viiest mullast (leosunud gleimuld, 
rähkne gleimuld, õhuke madalsoomuld, koreserikas rähkne gleimuld ning küllastunud 
turvastunud gleimuld) olid puude kõrgused parimad kolmandal ning viiendal mullal 
(vastavalt 3,85±0,03 ja 3,83±0,05 m), sama oli juurekaeladiameetriga (6,02±0,09 ja 
5,80±0,12 cm). Väljalangevus oli suurim leostunud gleimullal ning õhukesel 
madalsoomullal. Tunnuste esinemise koha pealt oli enim paksendeid õhukesel 
madalsoomullal ja küllastunud turvastunud mullal kasvavatel puudel (100%), vähim oli 
tunnuseid leostunud gleimullal (72,2%) ning koreserikkal rähksel gleimullal (91,9%) 
kasvavatel puudel. 
Magistritöö põhjal võib väita, et uuritavatest mullaliikidest on parimad kasvutingimused 
õhukesel madalsoomullal ning küllastunud turvastunud gleimullal. Autor soovitab 
hoiduda kultuuri rajamisest leostunud gleimullale kuna seal on maarjakaskede kasv 
tagasihoidlik ning esineb suur väljalangevus, mis on tingitud õhukesest 
huumushorisondist. Istutusmaterjali valikul tuleks eelistada pigem vanemaid taimi kuna 
noored puud võivad pärast istutust kergesti hukkuda."
"Kasemahla kogumistehnoloogia","1. Bakalaureusetööd","2014","Bakalaureusetöö teema on tekkinud Eesti Maaülikooli toiduteaduse ja toiduainete tehnoloogia 
osakonna initsiatiivil ja ettepanekul. Tegemist on tootearenduse esimese etapi ehk 
eeluuringuga. Väärtusliku kasemahla kasutamine on viimasel kümnendil järjest suurenenud, 
kuid selle kogumistehnoloogia on maha jäänud. Antud uurimistöö eesmärgiks on tutvuda 
olemasolevate tehnoloogiatega ja leida parim tehniline ja tehnoloogiline lahendus kasemahla 
kogumiseks. Tehtud on patendiuuring ning 8 huvitavamat patenti on kirjeldatud ja võrreldud. 
Patendiuuring põhines andmebaasil Espacenet. Patenti põhjal on geereeritud uusi ideid ja 
võimalikest uutest lahendustest on tehtud illustratsioonid. 
Lisaks on tehtud mõned joonised, et teha illustratsioone arusaadavamaks.
Üks võimalus, kuidas kasemahla tööstuslikult koguda on ära kasutada raiesmikule jäänud 
kasekände. See võimaldab vältida elusate puude vigastamist ja samas võib tootlikkus olla 
suurem. Teine võimalus on kasutada nõel-tüüpi tilasid, mis on paigaldatud võru või vöö 
külge. Vöö peaks olema paigaldatav kõikidele puudele ja peaks olema vastupidav.
Loodetavasti aitab antud eeluuring ning sellest tulenevad tehnilised ja tehnoloogilised 
soovitused jätkata tootearendusega."
"Liimpuidu käsipressi projekt","1. Bakalaureusetööd","2014","Käesoleva bakalaureusetöö eesmärgi tulemusel projekteeriti mehaaniline käsipress, millega on võimalik pressida kuni 1200 mm pikkuseid, 600 mm laiuseid ja 25 mm paksuseid liimpuitkilpe, millest saab valmistada trepiastmeid. Sellest lähtudes võib teha järgmised kokkuvõtted, järeldused ja soovitused. 

1. Liimpuidul on ristlõike suurem elastsus ja väiksemad temperatuuri ja niiskuse deformatsioonid võrreldes naturaalse puiduga. 
2. Pritskruvi on kõige odavam tööriist pressimiseks, kuid sellega ei saavuta mehaanilise käsipressi tootlikkust. 
3. Pilude vältimiseks ja ühtlase paksusega liimivuugi saavutamiseks peab press tagama vajaliku surve, mis antud töö puhul on 0,5 N/mm2 kohta. 
4. Liimitavate puitdetailide niiskus ei tohi olla erinev, sest see tekitab mahukahanemise pingeid vuugis. 
5. Liimitavad detailid peab paigutama nii, et aastarõngad oleks vahelduva suunaga. 
6. Pressimiseks kuluva aja määramisel tuleb arvestada puidu tugevust, liimi omadusi ja temperatuuri. 
7. Jaotatud jõu saavutamiseks peab survekruvi alustala läbipaine olema minimaalne. 
8. Survekruvi alustalaks sai valitud I-tala tema mõõtmete, inertsimomendi ja jooksva meetri massi tõttu. 
9. Survekruvi keerme profiiliks valiti trapetskeere Tr 36 • 10. 
10. Pressi raam valmistatakse 70 • 70 • 5 mm nelikanttorust. Raami osa, mis toetab laudu eest ja tagant on valmistatud 40 • 40 • 5 mm nelikanttorust. 
11. Laudade mugavamaks asetamiseks pressile on raami osa kuhu lauad asetatakse põranda suhtes 45 kraadise nurga all. 
12. Pressitavad lauad peaksid olema võimalikult sarnase ristlõikega vältimaks puidu deformatsioone. 
13. Pressimise kiiremaks ja mugavamaks muutmisel tuleks survekruvi asendada silindriga. 

See töö annab ettekujutuse liimpuidust ja selle valmistamisest. Töös tehtud tugevusarvutuste põhjal on võimalik valida endale sobilike mõõtmetega pressi raami ja survekruvi alustala materjali profiil. Antud töö loogiliseks jätkuks oleks pressi automatiseerimine. See eeldab jõukruvist loobumist ja silindrite kasutusele võtmist."
"APJ freespingi makroprogrammeerimine","2. Magistritööd","2019","Arvprogrammjuhtimisega (lüh APJ) freespingi töö automatiseerimise vältimatuks osaks on
makroprogrammeerimine, mistõttu on see vajalik oskus tänapäevases tootvas tööstuses.
Töö eesmärgiks on luua APJ freespingi makroprogrammeerimise õppevahend, mis
täiustaks olemasolevaid õppeaineid. Töö sisaldab makroprogrammeerimise teoreetilist ja
praktilist osa. Viimases pakutakse välja viis erinevat ülesannet koos autoripoolsete APJ
freespingis toimivate lahendustega. Lisaks on kirjeldatud makrode õppimiseks vajalikke
tarkvarasid. Töö käigus esinenud probleemide põhjal on välja toodud autori soovitused
makroprogrammeerimisega alustamiseks."
"Skeleti-lihaskonna vaevuste levimus Eestis 2016–2018 töötervishoiuteenistuse  andmebaasi näitel","2. Magistritööd","2020","Uuringu eesmärgiks oli analüüsida Eesti töötajate skeleti-lihasvaevuste (SLV) seoseid individuaalsete ja tööga seotud teguritega töötervishoiuteenistuse andmebaasi näitel. Meetod. Andmed koguti perioodil 2016–2018 aastal töötervishoiu tervisekontrolli läbinud töötajate kohta, mis hõlmas kokku 1300 inimest (0,2% Eesti tööealisest elanikkonnast). Koguti järgmised andmed: vanus, sugu, amet, tegevusvaldkond, kehamassiindeks (KMI), suitsetamine, töö ohutegurid, skeleti-lihasvaevused (SLV), spordiga tegelemine, tervisekontrolli aeg, regionaalne piirkond. SLV levimust analüüsiti seoses individuaalsete ja tööga seotud teguritega.
Tulemused. Uuringugrupist (n= 1300) olid 48% naised ja 52% mehed. Uuritavate vanus oli 18–78 aastat (keskmine 42,3±12,7 aastat; mehed 41,1±12,7 ja naised 43,8±12,6 aastat). KMI gruppide analüüs näitas, et alakaalus oli 2,3%, normaalkaalus 41,7%, ülekaalus 32,9% ning rasvunud kategooriates oli kokku 23% uuritavatest. Aastatel 2016–2018 suurenes eelkõige randme/labakäe kaebustega töötajate arv (p= 0,05). Kõige sagedamini olid tööga seotud ohuteguriteks sundasend (81%), kuvar/silmade pinge (64%) ja psühho-emotsionaalne pinge (51%). Kõige enam esinevad SLV-d alaselja (14,9%), kaela-õlavöötme (12,5%) ja pea piirkonnas (3,8%). Statistiliselt olulised erinevused SLV levimuses on nii vanuse kui sooga seotud. Keskealistel töötajatel (40–59 a.) esineb oluliselt rohkem (p< 0,05) kogu alajäseme, põlvede ja randme/labakäe kaebusi võrreldes noorema vanusegrupi (18–39 a.) ja vanema vanusegrupiga (60–78 a.). Naistel esineb meestest oluliselt rohkem kaebusi pea, kaela-õlavöötme, kogu alajäseme ja randme/labakäe piirkonnas (p= 0,05−0,0001). SLV levimuses on statistiliselt olulised erinevused ka KMI gruppide vahel. Rasvumise I astmega töötajatel (KMI väärtusega 30,0−34,9 kg/m-2 ) esineb oluliselt rohkem kogu alajäseme kaebusi ning randme/labakäe kaebusi, võrreldes teiste KMI gruppide näitajatega (p< 0,05). Töö ohutegurite ja SLV vahel olid nõrgad seosed, neist olulisemad olid sundliigutuste/korduvliigutuste ja kogu alajäseme kaebuste vahel ning kuvariga töö ja kaela-õlavöötme piirkonna kaebuste vahel (r< 0,099, p< 0,001).
Järeldused. Töötajate SLV levimus on seotud nii individuaalsete kui tööga seotud teguritega."
"Linnade mõju	jõgede füüsikalis-keemilisele	seisundile	viies	Eesti	linnas","2. Magistritööd","2017","Meie siseveekogudel on oluline tähtsus kalanduse, veevarustuse, reovee äravoolu,
rekreatsiooni ja paiguti ka liikluse seisukohalt, ka looduse ilmestamisel ja kohaliku kliima
kujunemisel. Linnad ja inimtegevus mõjutavad jõgesid. Üha kasvav tööstus toob kaasa
reovee hulga suurenemise. Eesti jõgede saastekoormus tuleneb nii punkt- kui ka
hajukoormusest.
Töös on püstitatud hüpotees “linn mõjutab jõe ökoloogilist seisundit negatiivses suunas”.
Magistritöös antakse ülevaade Eesti jõgede ökoloogilisest seisundist ja uuritakse viie Eesti
linna näitel, kuidas linn mõjutab neid läbivate jõgede füüsikalis-keemilist kvaliteeti 1992-
2015.aastatel. Analüüsitakse Räpinas Võhandu jõge, Tartus Emajõge, Keilas Keila jõge,
Kundas Kunda jõge ja Tallinnas Pirita jõge.
Jõgede seireandmeid töödeldi statistiliste meetoditega. Vaadeldavateks karakteristikuteks
on vastavalt Keskkonnaministri määrusele nr 44 määratud vooluveekogumi ökoloogilise
seisundi määramiseks füüsikalisi-keemilisi kvaliteedinäitajaid (pH, lahustunud hapniku
küllastusprotsent, biokeemiline hapnikutarve, ammooniumioonide sisaldus,
üldlämmastiku- ja üldfosforisisaldus). Vaid Emajõe ja Keila puhul on olemas seireandmed
enne ja pärast linna, mis võimaldas andmeid analüüsida ka Mann-Whitney meetodiga.
Emajões erinesid lahustunud hapniku protsent, pH, ammooniumioonide ja üldfosfori
kontsentratsioonid. Kaks esimest näitajat olid kõrgemad Kvissentali jõelõigus ning
orgaaniline reostus oli suurem jões pärast linna. Allpool Tartu linna Kavastu lõigus on vee
seisund alates 1996.a paranenud. Mann-Whitney test näitas Keila jões statistiliselt olulisi
erinevusi ammooniumiooni ja üldfosfori kontsentratsioonide osas. Mõlemad näitajad olid
kõrgemad Keila linnast allavoolu jõe suudme-eelses lõigus. Seega vesi on rohkem
reostunud pärast linna. On näha, et enne linna esineb head ja väga head ökoloogilist
seisundit rohkem kui pärast linna. Pirita, Kunda ja Võhandu jõgede puhul tehakse seiret
vaid ühest kohast. Seega pole võrreldavaid andmeid enne ja pärast linna. Jõed on valdavalt
heas ja väga heas seisundiklassis.
Püstitatud hüpotees leidis kinnituse."
"Büroohoone arendamine ja haldamine Pronksi 12, Tallinn","2. Magistritööd","2017","Büroopindade nõudlus ja pakkumus on suurenenud võrreldes majanduslanguse aegse
olukorraga. Teema on vägagi aktuaalne, kuna Tallinna linnapildis on üha enam näha
kõrgumas uusi büroohooneid, mida ehitatakse erasektori poolt ning ka avaliku sektori
tellimusel. Olen antud teema valinud, kuna ise puutun igapäevaselt kokku büroopindade
arendamisega avalikus sektoris, töötades Riigi Kinnisvara ASis kinnisvara arenduste
projektijuhina.
Magistritöö eesmärgiks on võrrelda kinnisvara korrashoiu kulusid Pronksi 12 hoonel enne
ja pärast rekonstrueerimist ning rendihinda turul pakutavate büroopindade
rendihindadega. Uurimistöös soovitakse leida vastus küsimusele, kas hoone
rekonstrueerimine mõjutas oluliselt kinnisvara korrashoiu kulusid.
Võrreldes majanduslanguse aastatega on Tallinna kesklinnas oluliselt tõusnud
bürookinnisvara segmendis pakkumuste ja nõudluste tasakaal. Viimastel aastatel on
juurde arendatud hulganisti uut bürookinnisvara. Uueks trendiks turul on büroopinna
müük ehk võimalus rentimise asemel osta büroopind.
Riigi Kinnisvara AS arendas Pronksi 12 hoonest kaasaegse büroohoone, kus on kasutatud
avatud kontori põhimõtet. Projekt oli väga edukas, kuna suudeti ellu viia planeeritud kuludest märksa soodsamalt. Ärihoonete võrdlus näitab, et Riigi Kinnisvara AS suudab
pakkuda võrreldes erasektoriga soodsamat rendihinda.
Järeldusena võib öelda, et Pronksi 12 kinnisvara korrashoiu kulud on tõusnud
tehnohoolduse ja heakorra teenuse lõikes. Tehnohoolduse kulu on tõusnud kulu 0,1
eurot/m2
kohta kuus, mis on väga väike tõus. Kuna hoones puudus enne ventilatsioon ja
jahutus, siis selline väike hoolduskulu tõus on igati mõistetav. Heakorra teenuse hind on
tõusnud 0,2 eurot/m2
kohta kuus. Autori hinnangul on heakorra teenuse hinnatõus tingitud
eelkõige miinimumpalga tõusust. Hoonesse tellitava teenuse sisu on sama võrreldes
varasema perioodiga. Oluliselt on langenud tarbimisteenuste kulu võrreldes 2014 aastaga.
Osaliselt on see tingitud asjaolust, et hoones on 30% vakantsi, kuid kindlasti annab
kokkuhoidu ka rekonstrueeritud küttesüsteem ning uued aknad.
Magistritöö autori hinnangul hoone rekonstrueerimine ei ole oluliselt mõjutanud
kinnisvara korrashoiu kulusid."
"Lehtpuupuistute majandamine","Raamatud","2006","Kaasikute, maarjakase, haavikute, hübriidhaava, sanglepikute, hall-lepikute, tammikute, saarikute majandamine."
"SolaRoad tehnoloogia rakendamis teostatavuse uuring Eesti tingimustes","1. Bakalaureusetööd","2016","SolaRoad lahenduse näol on tegemist uudse kontseptsiooniga taastuvenergeetika
kasutamises ühendades endas kergliiklustee ja päikesekiirgusest elektri tootmise. Kuna
tegemist on prototüübiga, mille esmapaigaldamine Hollandis oli oktoobris 2014.a, siis
pole antud lahenduse sobivust Eesti keskkonda veel uuritud. Antud bakalaureusetöö
eesmärgiks on tutvuda SolaRoad paigaldise tehnoloogia ja kontseptsiooniga ning
analüüsida võimalikku sobivust Eesti keskkonda.
Töös antakse ülevaade päikeseenergia tootmise üldistest põhimõtetest ja tehnoloogiatest.
SolaRoad kontseptsiooni selgitamisel kasutatakse paigaldise omaniku poolt väljastatud
teabematerjali. Sobivuse hindamisel Eesti keskkonda on kasutatud Päikese summaarse
kiirgushulga välja selgitamiseks Solargis kaardirakendust, päikese trajektoori
kalkulaatorit Suncalc ja tootlikkuse analüüsimiseks NREL programmi SAM.
Töös esitatud andmetest saab vaid üldise ettekujutuse SolaRoad lahenduse
tehnoloogiast, tööpõhimõtetest ja materjalidest, kuna spetsiifilist infot paigaldise omanik
ei soostunud avaldama viidates ettevõtte ärisaladusele ja konfidentsiaalsusele. Eesti
konteksti SolaRoadi paigaldamisega teoreetiliselt probleemi ei ole, kuna Eesti keskkond
on sobiv taolise paigaldise jaoks. Lahendamist vajab teepinda kattev tugevdatud ja
karedusomadustega klaasi kättesaadavus, ülejäänud seadmetega probleeme ei esine ja
elektriliste ühenduste rajamine on teostatav."
